intervention_id,name,itype,source,organism,lifespan_effect_pct,linked_gene_ids,url,n_experiments
DRUGAGE:3230_2939:drosophila_melanogaster,3230_2939,drug,DrugAge,Drosophila melanogaster,,,https://genomics.senescence.info/drugs/,2
DRUGAGE:3_1_mixture__salicyl_salicylic_acid___aspirin:drosophila_melanogaster,3:1 Mixture: salicyl-salicylic acid + aspirin,drug,DrugAge,Drosophila melanogaster,31.0,,https://genomics.senescence.info/drugs/,2
DRUGAGE:4__demethylpipodophyllotoxin:caenorhabditis_elegans,4'-Demethylpipodophyllotoxin,drug,DrugAge,Caenorhabditis elegans,10.52,,https://genomics.senescence.info/drugs/,2
DRUGAGE:4_4__dimethoxychalcone:caenorhabditis_elegans,"4,4′-dimethoxychalcone",drug,DrugAge,Caenorhabditis elegans,18.55,,https://genomics.senescence.info/drugs/,1
DRUGAGE:4_4__dimethoxychalcone:drosophila_melanogaster,"4,4′-dimethoxychalcone",drug,DrugAge,Drosophila melanogaster,17.24,,https://genomics.senescence.info/drugs/,1
DRUGAGE:4_dafachronic_acid:caenorhabditis_elegans,4-dafachronic acid,drug,DrugAge,Caenorhabditis elegans,8.3,,https://genomics.senescence.info/drugs/,2
DRUGAGE:4_hydroxy_e_globularinin:caenorhabditis_elegans,4-hydroxy-E-globularinin,drug,DrugAge,Caenorhabditis elegans,8.1,,https://genomics.senescence.info/drugs/,3
DRUGAGE:4_hydroxyphenyl_n_tert_butylnitrone:mus_musculus,4-hydroxyphenyl-N-tert-butylnitrone,drug,ITP,Mus musculus,,,https://genomics.senescence.info/drugs/,3
DRUGAGE:4_phenyl_3_furoxancarbonitrile:caenorhabditis_elegans,4-phenyl-3-furoxancarbonitrile,drug,DrugAge,Caenorhabditis elegans,30.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:4_phenylbutyrate:drosophila_melanogaster,4-phenylbutyrate,drug,DrugAge,Drosophila melanogaster,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:4_phenylbutyrate:mus_musculus,4-phenylbutyrate,drug,ITP,Mus musculus,-2.0,,https://genomics.senescence.info/drugs/,2
DRUGAGE:4112_3315:caenorhabditis_elegans,4112-3315,drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,2
DRUGAGE:4112_3315:drosophila_melanogaster,4112_3315,drug,DrugAge,Drosophila melanogaster,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:4_methyl_2_oxovalerate:caenorhabditis_elegans,4‐methyl‐2‐oxovalerate,drug,DrugAge,Caenorhabditis elegans,12.44,,https://genomics.senescence.info/drugs/,1
DRUGAGE:5_7_4trimethoxyfavone:caenorhabditis_elegans,"5,7,4Trimethoxyfavone",drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,2
DRUGAGE:5_hydroxy_l_tryptophan:drosophila_melanogaster,5-Hydroxy-L-tryptophan,drug,DrugAge,Drosophila melanogaster,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:5_octanoyl_salicylic_acid:caenorhabditis_elegans,5-octanoyl salicylic acid,drug,DrugAge,Caenorhabditis elegans,18.3,,https://genomics.senescence.info/drugs/,1
DRUGAGE:574_trimethoxyfavone:drosophila_melanogaster,574-Trimethoxyfavone,drug,DrugAge,Drosophila melanogaster,,,https://genomics.senescence.info/drugs/,2
DRUGAGE:5__hydroxy_6__7__8__3___4__pentamethoxyflavone:caenorhabditis_elegans,"5′-Hydroxy-6, 7, 8, 3′, 4′-pentamethoxyflavone",drug,DrugAge,Caenorhabditis elegans,16.05,,https://genomics.senescence.info/drugs/,5
DRUGAGE:6_7_dihydroxyflavone:caenorhabditis_elegans,"6,7-Dihydroxyflavone",drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,2
DRUGAGE:6_hydroxyflavone:caenorhabditis_elegans,6-Hydroxyflavone,drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,2
DRUGAGE:6_shogaol:caenorhabditis_elegans,6-shogaol,drug,DrugAge,Caenorhabditis elegans,25.9,,https://genomics.senescence.info/drugs/,1
DRUGAGE:6526_0645:caenorhabditis_elegans,6526-0645,drug,DrugAge,Caenorhabditis elegans,3.51,,https://genomics.senescence.info/drugs/,2
DRUGAGE:6526_0645:drosophila_melanogaster,6526_0645,drug,DrugAge,Drosophila melanogaster,,,https://genomics.senescence.info/drugs/,1
